,0
0,Diana Miller
1,Madhur Jaffrey
2,Jacqueline Friedrich
3,Alan Tardi
4,Dorothy Kalins
5,Julee Rosso
6,Molly O'Neill
7,Molly Stevens
8,Catherine Donnelly
9,Arrigo Cipriani
10,Melissa Hamilton
11,Bren Smith
12,Shirley Corriher
13,Deborah Madison
14,Ellie Krieger
15,Bert Greene
16,Jack Czarnecki
17,Rebecca Cate
18,Sami Tamimi
19,Vicky Bennison
20,Steven Jenkins
21,George Greenstein
22,Christopher Schlesinger
23,Julia Harding
24,Steven Raichlen
25,Oretta Zanini de Vita
26,Barbara Kafka
27,Stella Parks
28,Waverly Root
29,Larry Forgione
30,Andre Domine
31,Gil Marks
32,Randall Grahm
33,Hugh Johnson
34,Amy Chaplin
35,Maida Heatter
36,Peter Johnson
37,Michael Weiss
38,Marlene Divina
39,John Ash
40,Nina Simonds
41,Barbara Tropp
42,Paul Greenberg
43,Paul Lukacs
44,Deborah Krasner
45,J. Kenji Lopez-Alt
46,John Doc Willoughby
47,Joshua McFadden
48,David Kaplan
49,Richard Sax
50,Marcella Hazan
51,Beatrice Ojakangas
52,Marlene Sorosky Gray
53,Maggie Glezer
54,Cheryl Alters Jamison
55,Julia Child
56,Grant Achatz
57,Joanne Weir
58,Keith Schroeder
59,David Thompson
60,Jim Fobel
61,Rocco DiSpirito
62,Laurie Colwin
63,Jancis Robinson
64,Linda West Eckhardt
65,Meike Peters
66,Trish Magwood
67,Barbara Kingsolver
68,Librarie Larousse
69,Chris Smith
70,Nicolaus Balla
71,Mollie Katzen
72,Georgeann Brennan
73,Mimi Sheraton
74,Michael Twitty
75,Michael Pollan
76,Martha Rose Shulman
77,David Sterling
78,Bill Jamison
79,Yohanis Gebreyesus
80,Donald Link
81,Janie Hibler
82,Tan Leng
83,Peter Berley
84,Heston Blumenthal
85,Matt Lewis Thorne
86,Bill LeBlond
87,Anissa Helou
88,Sheila Lukins
89,Jean Marie Brownson
90,Michael Moss
91,Patricia Wells
92,Peter Menzel
93,John Thorne
94,Veronica Chambers
95,Catherine Young
96,Lee Bailey
97,Marian Burros
98,Margit Biever Mondavi
99,Fran McCullough
